Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Amazonas,Ancash,Apurimac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huanuco,Ica,Junin,La Libertad,Lambayeque,Lima,Loreto,Madre de Dios,Moquegua,Pasco,Piura,Puno,San Martin,Tacna,Tumbes,Ucayali,Unknown
Country/Region,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru,Peru
05-28-2020,525,3214,152,2890,633,666,9664,913,382,771,2440,1659,3644,6415,86005,3670,396,445,418,6445,316,1074,368,1150,3425,-59442
05-29-2020,525,3214,152,2890,633,666,9664,913,382,771,2440,1659,3644,6415,86005,3670,396,445,418,6445,316,1074,368,1150,3425,-62791
05-30-2020,561,3253,168,3296,705,715,11793,1012,429,838,2550,1797,3814,6409,94958,4340,479,475,449,6670,326,1206,371,1148,3538,-66447
05-31-2020,584,3953,191,3288,741,742,11846,1059,435,873,3090,1829,4469,7872,98817,4419,487,513,454,6985,385,1275,443,1273,3947,-67208
06-01-2020,587,4174,186,3584,755,780,12166,1100,448,966,3198,1877,4699,8195,101234,4836,513,507,464,7616,379,1311,393,1276,4161,-68507
06-02-2020,611,4391,195,3677,783,823,12573,1122,454,974,3278,1931,4909,8520,107210,5056,555,506,465,7617,392,1408,442,1149,4357,-69257
06-03-2020,628,4361,200,3766,819,846,12825,1154,464,1000,3590,1987,5139,8727,106376,5217,605,523,469,7352,390,1474,453,1188,4467,-72319
06-04-2020,653,4756,218,3905,855,874,12931,1170,485,1055,3647,2069,5172,8819,106661,5457,592,559,501,8962,414,1632,463,1407,4910,-76228
06-05-2020,705,4926,233,4145,857,866,13041,1178,505,1107,3743,2072,5260,9005,108066,5872,721,666,542,9642,447,1750,499,1417,4973,-79214
06-06-2020,731,4985,244,4256,878,898,13278,1195,514,1140,3906,2092,5435,9056,110788,5884,732,672,554,9927,453,1813,501,1457,5068,-82731
06-07-2020,744,5074,255,4400,902,925,13476,1225,524,1160,4040,2134,5597,9195,113876,5920,733,673,563,10148,459,1858,488,1492,5189,-86219
06-08-2020,796,5125,283,4429,907,936,13626,1255,565,1165,4083,2169,5664,9298,115687,6042,738,708,632,10313,462,1914,530,1494,5304,-89556
06-09-2020,846,5255,288,4495,950,973,13883,1269,574,1197,4232,2221,5820,9464,117734,6198,795,711,644,10483,467,2012,542,1538,5407,-92929
06-10-2020,899,5401,307,4539,987,1000,14079,1304,597,1235,4407,2269,6038,9644,120340,6410,819,719,666,10927,488,2165,558,1593,5529,-98031
06-11-2020,968,5545,312,4679,1017,1049,14412,1339,607,1265,4576,2359,6369,9884,122965,6689,888,723,687,11584,517,2264,567,1641,5794,-102429
06-12-2020,968,5545,312,4679,1017,1049,14412,1339,607,1265,4576,2359,6369,9884,122965,6689,888,723,687,11584,517,2264,567,1641,5794,-107133
06-13-2020,1005,5653,324,4786,1060,1121,14766,1362,630,1339,4773,2446,6527,10135,125916,6856,930,732,716,12163,535,2408,577,1718,5963,-111724
06-14-2020,1141,5923,340,5006,1146,1263,15355,1427,653,1466,5110,2583,6907,10613,129198,7313,1029,740,746,13176,553,2695,602,1839,6224,-115579
06-15-2020,1150,6032,342,5080,1160,1298,15491,1439,657,1497,5181,2634,7043,10726,130925,7421,1031,741,780,13415,572,2763,605,1876,6273,-119409
