Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Adygea Republic,Altai Krai,Altai Republic,Amur Oblast,Arkhangelsk Oblast,Astrakhan Oblast,Bashkortostan Republic,Belgorod Oblast,Bryansk Oblast,Buryatia Republic,Chechen Republic,Chelyabinsk Oblast,Chukotka Autonomous Okrug,Chuvashia Republic,Dagestan Republic,Ingushetia Republic,Irkutsk Oblast,Ivanovo Oblast,Jewish Autonomous Okrug,Kabardino-Balkarian Republic,Kaliningrad Oblast,Kalmykia Republic,Kaluga Oblast,Kamchatka Krai,Karachay-Cherkess Republic,Karelia Republic,Kemerovo Oblast,Khabarovsk Krai,Khakassia Republic,Khanty-Mansi Autonomous Okrug,Kirov Oblast,Komi Republic,Kostroma Oblast,Krasnodar Krai,Krasnoyarsk Krai,Kurgan Oblast,Kursk Oblast,Leningrad Oblast,Lipetsk Oblast,Magadan Oblast,Mari El Republic,Mordovia Republic,Moscow,Moscow Oblast,Murmansk Oblast,Nenets Autonomous Okrug,Nizhny Novgorod Oblast,North Ossetia - Alania Republic,Novgorod Oblast,Novosibirsk Oblast,Omsk Oblast,Orel Oblast,Orenburg Oblast,Penza Oblast,Perm Krai,Primorsky Krai,Pskov Oblast,Rostov Oblast,Ryazan Oblast,Saint Petersburg,Sakha (Yakutiya) Republic,Sakhalin Oblast,Samara Oblast,Saratov Oblast,Smolensk Oblast,Stavropol Krai,Sverdlovsk Oblast,Tambov Oblast,Tatarstan Republic,Tomsk Oblast,Tula Oblast,Tver Oblast,Tyumen Oblast,Tyva Republic,Udmurt Republic,Ulyanovsk Oblast,Vladimir Oblast,Volgograd Oblast,Vologda Oblast,Voronezh Oblast,Yamalo-Nenets Autonomous Okrug,Yaroslavl Oblast,Zabaykalsky Krai
Country/Region,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia
06-01-2020,471,1098,58,356,1457,930,2187,1458,1435,685,398,1588,24,1687,394,1218,1621,1253,113,1688,899,549,2472,606,805,276,298,1113,411,1760,753,624,362,1127,3281,127,1650,1274,1464,56,423,1092,98296,30828,1176,61,6298,987,957,1752,1034,1160,777,543,699,952,537,3162,2601,10352,1131,65,1568,1982,1487,1419,3366,1864,544,379,2117,541,835,1020,258,1846,1958,2164,588,691,1421,2440,568
06-02-2020,468,1140,53,353,1458,904,2253,1452,1432,679,404,1687,24,1728,500,1206,1771,1258,100,1685,913,552,2446,639,859,261,323,1114,425,1848,830,621,373,1109,3231,118,1658,1239,1513,46,396,1059,94481,31151,1097,59,6412,929,1031,1772,1033,1115,829,516,670,924,541,3321,2569,10458,1165,79,1630,2029,1547,1432,3483,1881,473,388,2114,520,825,985,280,1919,1934,2217,592,719,1293,2444,568
06-03-2020,430,1188,54,363,1658,933,2291,1444,1429,660,370,1736,27,1765,577,1173,1837,1259,84,1667,920,536,2413,655,923,297,348,1091,433,1893,874,600,389,1113,3311,111,1673,1216,1530,56,368,1044,92877,31365,960,59,6482,816,1069,1853,1027,1142,836,515,668,913,576,3383,2550,10498,1190,81,1609,2041,1615,1418,3668,1895,350,395,2104,469,819,992,320,1926,1885,2247,548,778,1261,2446,563
06-04-2020,441,1224,66,367,1751,958,2341,1451,1424,648,304,1763,30,1785,679,975,1926,1339,79,1644,923,534,2424,687,978,313,370,1108,412,1990,874,614,396,1102,3386,111,1661,1190,1545,65,338,1021,91750,31547,967,60,6596,558,1112,1928,956,1137,857,513,670,900,653,3465,2562,10485,1226,85,1598,2061,1697,1448,3817,1829,262,405,2085,473,827,1068,355,1997,1893,2285,541,855,1216,2464,525
06-05-2020,434,1213,65,382,1833,986,2423,1437,1423,672,310,1808,35,1820,779,891,1970,1430,78,1670,936,511,2369,725,1024,336,389,1091,412,2042,909,600,412,1081,3492,115,1674,1058,1552,77,328,1019,90905,31789,988,65,6762,438,1150,1990,972,1209,609,473,663,884,700,3553,2532,10455,1189,97,1617,2114,1809,1438,3896,1856,207,435,2078,498,821,1157,393,2056,1824,2327,535,952,1228,2479,545
06-06-2020,445,1180,68,403,1893,986,2492,1418,1420,696,324,1822,38,1854,908,814,1959,1492,83,1694,949,519,2372,774,1093,356,380,1156,390,2099,946,617,402,1035,3599,122,1635,980,1570,103,305,1009,89766,31997,997,64,6894,151,1188,2045,994,1266,631,465,679,889,714,3674,2497,10361,1196,107,1653,2153,1797,1487,3974,1889,44,431,2047,506,815,1237,426,2124,1798,2373,537,994,1234,2392,564
06-07-2020,438,1209,72,445,2006,1008,2473,1476,1416,716,341,1865,40,1834,993,776,2067,1619,90,1692,973,528,2378,809,1154,388,398,1219,361,2200,976,653,404,1067,3758,108,1683,1016,1575,116,328,1044,89384,32203,1046,64,7164,160,1229,2136,1016,1374,687,511,737,908,783,3809,2555,10373,1205,117,1662,2180,1892,1549,4139,1914,71,471,2137,592,839,1338,457,2200,1861,2489,541,1129,1254,2455,607
06-08-2020,453,1269,79,491,2121,1021,2546,1530,1406,755,357,1905,40,1818,1075,799,2136,1709,93,1742,1007,532,2445,848,1192,405,423,1265,349,2268,1034,684,425,1130,3841,123,1742,999,1611,125,361,1057,89701,32374,1089,64,7424,167,1286,2220,1069,1461,747,594,780,955,817,3964,2620,10528,1253,133,1722,2290,2009,1634,4352,1962,58,486,2244,677,868,1463,484,2295,1896,2579,558,1350,1291,2519,660
06-09-2020,487,1246,86,530,2178,1036,2590,1493,1400,753,344,1980,41,1859,1157,714,2245,1709,90,1713,986,467,2415,890,1248,416,447,1261,333,2399,1062,688,435,1145,3756,114,1744,947,1663,131,314,1087,85824,32460,1132,63,6893,186,1322,2253,1075,1517,749,632,765,947,840,4022,2543,10619,1243,145,1729,2382,2016,1652,4369,1950,92,508,2169,709,885,1496,497,2330,1815,2600,559,1530,1345,2456,661
