Admin2,Province/State,Country/Region,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020
,Andaman and Nicobar Islands,India,192,196,201,214,226,242,263,277,326,355,425,500,648,709,749,829,924,1032,1128,1226,1325,1421,1529,1638,1744,1853,1963,2092,2231,2309,2374,2444,2519,2586,2647,2714,2758,2823,2863,2904,2951,2997,3035,3078,3121,3157,3202,3243,3243,3318,3345,3378,3414,3436,3452,3469,3479,3494,3503,3528,3551,3553,3582,3587,3608,3623,3631,3642,3649,3659,3678,3696,3707,3724,3744,3764,3770,3782,3796,3817,3831,3848,3868,3892,3902,3913,3937,3945,3968,3983,3997,4019,4039,4054,4076,4100,4112,4132,4153,4163,4175,4194,4206,4221,4239,4255,4267,4282,4304,4315,4330,4346,4363,4378,4398,4408,4428,4440,4453,4464,4479,4491,4508,4518,4537,4550,4550,4583,4597,4611,4616,4624,4631,4647,4647,4652,4659,4665,4673
,Andhra Pradesh,India,49558,55406,60024,63864,76614,82886,88672,95625,104354,112870,120464,129615,138712,145636,154749,161425,170984,180703,191117,201234,209100,218311,226372,235218,244045,252638,260087,268828,268828,286720,295248,303711,312687,321754,330526,339876,348330,358009,370163,382104,394019,404074,415765,425607,435647,446716,457008,467139,467139,486531,497376,508088,519891,530711,541319,551821,562376,570667,579474,588169,597294,605090,612300,622136,629211,636508,643993,651791,658875,666433,672479,678828,684930,691040,697699,703208,708712,714427,719477,725099,730109,735638,740229,744532,749676,754415,758138,762419,765991,769576,773548,777900,781509,784752,788375,792083,795592,798625,802325,805026,807318,809770,812517,814773,816322,818473,820234,822011,824189,826344,828484,829991,832284,833980,835801,837630,839395,841026,842416,843863,845039,846120,847325,848511,852298,853232,853232,855485,856320,857233,858115,859029,859624,860368,861153,861711,862230,862895,863508
,Arunachal Pradesh,India,574,677,827,918,969,996,1063,1105,1210,1245,1326,1430,1482,1592,1634,1659,1718,1750,1771,1808,1893,1949,2022,2093,2125,2228,2297,2427,2508,2563,2621,2709,2754,2822,2885,2979,3075,3167,3280,3381,3472,3596,3723,3906,4005,4126,4253,4379,4379,4658,4787,4967,5106,5280,5408,5643,5778,5903,6071,6230,6397,6495,6592,6743,6890,7049,7183,7388,7577,7775,7965,8396,8679,8877,9035,9232,9403,9573,9694,9889,10071,10315,10552,10780,11035,11199,11407,11613,11781,11951,12182,12297,12480,12623,12777,12959,13073,13238,13367,13472,13580,13679,13785,13881,13966,14051,14126,14214,14319,14421,14500,14588,14644,14715,14800,14870,14937,14972,15036,15091,15157,15229,15270,15323,15364,15411,15411,15488,15525,15561,15581,15605,15653,15690,15697,15739,16163,16185,16206
,Assam,India,25402,27832,29080,30357,31442,32384,33428,34421,35892,37224,38809,40591,42325,43586,45073,47209,49383,51693,53286,55215,56734,58294,60348,63120,65596,67641,70900,73090,74814,76962,79307,81070,82510,83927,85461,86895,88729,90700,92720,95063,96826,99076,101239,103504,105701,108329,110885,113133,113133,116903,119367,121613,123687,125543,127338,129133,130950,132712,135144,136715,138310,139980,142300,144002,145618,147522,148963,150776,152127,153491,155077,157638,159836,161904,163355,164582,166039,167059,168072,169335,170265,171084,171683,173213,174414,176078,177662,179846,182794,185755,188587,191030,192517,193574,194668,196054,196784,197569,198042,198697,199458,200384,200939,201334,201842,202471,203308,204079,204721,205250,205639,206044,206401,206611,206878,207029,207222,207397,207528,207649,207766,207908,208068,208190,208286,208396,208396,208669,208846,208967,209130,209214,209345,209447,209625,209790,209939,210057,210174
,Bihar,India,27530,30320,31350,33358,34994,36389,38228,40348,42414,43537,44482,48243,51158,54088,56709,59786,62284,64930,68510,72324,76452,80330,84404,87660,91552,94858,98325,101292,104301,106361,109175,112452,114772,117124,119540,121560,123794,124976,126371,128503,130485,132145,134391,135791,137544,139458,141499,143350,143350,146980,148656,150040,151750,153298,155155,156242,157454,159022,160178,161874,163432,164987,166276,168025,169732,171048,172449,173932,175458,176995,178395,179732,180696,182121,183390,184541,185911,187059,188380,189186,190425,191619,192783,194005,195046,196240,197208,198532,199757,200918,201942,203174,204178,205108,206346,207480,208644,209582,210672,211398,211872,212452,213513,214207,215263,216097,216940,217594,218313,218689,219263,220007,220668,221272,221924,222420,222879,223484,224073,224715,225077,225602,226267,226939,227456,227987,227987,228797,229249,229883,230630,231248,231884,232563,233298,233766,234383,234958,235528
,Chandigarh,India,575,611,647,667,683,698,706,715,715,777,820,872,904,1004,1015,1023,1076,1091,1118,1137,1183,1243,1351,1390,1426,1471,1492,1646,1713,1796,1977,2107,2248,2296,2431,2551,2670,2883,3105,3290,3439,3734,3960,4140,4331,4600,4864,5170,5170,5502,5683,6062,6415,6766,7138,7411,7794,8049,8342,8677,8937,9103,9325,9598,9813,10009,10162,10396,10598,10797,11035,11190,11344,11505,11662,11787,11898,12007,12119,12232,12352,12460,12554,12617,12724,12842,12924,13009,13087,13167,13230,13279,13359,13402,13469,13551,13632,13708,13751,13802,13862,13925,13978,14024,14110,14176,14233,14297,14381,14381,14468,14584,14744,14833,14963,15096,15198,15317,15389,15455,15532,15612,15697,15857,15926,16070,16070,16279,16452,16613,16754,16814,16899,16981,17128,17231,17365,17457,17571
,Chhattisgarh,India,5172,5636,5921,6230,6610,6991,7256,7613,7871,8088,8319,8582,8809,9013,9239,9508,9658,9857,10046,10235,10598,10847,11185,11739,12022,12394,12931,13424,13732,14145,14607,15109,15818,16303,16989,17567,18220,18950,19625,20487,21198,22177,22792,24414,25855,27123,27978,31931,31931,34279,35885,41111,44392,46081,47653,49564,52001,56773,58833,66860,70955,72224,74537,78514,81718,84699,88095,91077,93731,97067,100551,103828,106027,108935,111654,113771,116540,119352,121548,123943,126869,129883,132168,135259,137986,140216,143212,146222,148899,150398,153654,156080,157480,159268,160918,163079,164537,166391,168201,169410,170760,172513,173872,176129,178838,180995,183190,185152,187522,188167,188869,190463,192181,193997,195469,196896,198316,199311,200825,201744,201744,204198,208183,210917,212517,214826,214826,218195,220177,221690,223070,223772,225633,227158,228304,230238,232715,234037,234853
,Dadra and Nagar Haveli and Daman and Diu,India,564,648,668,686,725,766,860,919,960,973,1014,1037,1121,1167,1209,1248,1292,1331,1384,1431,1459,1524,1604,1627,1652,1702,1753,1786,1820,1862,1916,1960,1998,2042,2081,2122,2141,2154,2180,2234,2271,2291,2321,2346,2375,2413,2444,2488,2488,2552,2575,2608,2639,2677,2693,2711,2744,2755,2785,2805,2831,2848,2877,2910,2929,2939,2959,2967,2980,2991,3000,3010,3025,3037,3050,3059,3064,3081,3090,3099,3109,3119,3127,3140,3153,3161,3164,3167,3173,3175,3176,3181,3184,3192,3197,3210,3219,3221,3225,3228,3230,3233,3239,3246,3249,3253,3255,3255,3259,3263,3267,3273,3274,3274,3274,3275,3276,3280,3283,3286,3290,3293,3301,3305,3308,3314,3314,3322,3324,3326,3326,3326,3328,3330,3331,3332,3335,3337,3337
,Delhi,India,116372,118633,119724,120930,122131,123317,124254,125226,126116,127124,128232,129362,130587,131657,132384,133405,134318,135108,136251,137561,138301,139447,140767,141826,142908,144138,145388,146588,147743,148897,150027,151473,152922,154171,155678,156728,158586,160114,161865,163785,165973,168384,170140,172763,175400,178154,181295,184748,184748,191203,194516,198103,201671,205890,209632,213304,216401,220866,224375,228436,232912,236651,240703,243481,247446,250613,253784,257224,260350,263938,266935,270305,272948,276046,278812,281869,284844,286880,289747,292502,295699,298853,301716,304561,306747,310191,312918,316214,319828,323654,327390,330112,334240,338378,342811,347476,351635,356459,360069,365866,371155,377276,383614,389683,396697,402854,410118,416580,423078,430195,437801,441361,445782,452683,459368,468143,475106,481260,488476,493419,498780,503717,509654,516166,522491,528315,528315,538680,543514,548376,553292,557914,561732,565039,569216,572523,574925,578116,580655
,Goa,India,3410,3784,4005,4211,4438,4668,4876,5114,5287,5453,5595,5802,5995,6208,6480,6641,6912,7157,7488,7775,8058,8356,8713,9063,9540,10019,10472,10909,11224,11511,11867,12296,12729,13186,13577,13850,14059,14361,14747,15281,15839,16427,16875,17156,17592,18065,18576,19129,19129,20094,20445,20844,21314,21760,22297,22726,23462,23857,24347,25071,25759,26460,27072,27781,28125,28525,29004,29527,30033,30456,31050,31444,31902,32317,32777,33203,33698,34252,34731,35161,35610,36035,36395,36914,37275,37683,38031,38421,38769,39090,39433,39778,39974,40168,40409,40678,40915,41123,41362,41611,41849,42056,42239,42446,42678,42877,43029,43221,43388,43533,43656,43941,44132,44310,44467,44665,44812,44979,45083,45168,45229,45340,45492,45655,45790,45940,45940,46132,46251,46375,46493,46624,46778,46924,47056,47215,47345,47489,47590
,Gujarat,India,41380,43195,44074,44907,45699,46504,47478,48376,49433,50350,51720,52855,54166,55304,56444,57421,58467,59538,60553,61512,62595,63703,64823,65946,67267,68243,69212,70231,71236,72282,73475,74525,75636,76731,77756,78887,79929,81055,82273,83419,84631,85907,87352,88688,90103,91343,92678,93883,93883,96582,98029,99681,100974,102444,103648,104964,106285,107574,109079,110358,111777,113008,114344,115727,117099,118433,119683,120987,122233,123638,125111,126657,127786,129304,130760,132173,133615,134990,136404,137733,139012,140282,141515,142662,143790,144970,146171,147435,148448,149411,150513,151751,152858,153941,154968,155982,157110,158114,159311,160333,161388,162709,163640,164459,165452,166331,167683,168858,169936,170931,171932,172972,174088,175362,176475,177515,178786,179953,181187,182473,183756,185058,186446,187969,189420,190821,190821,193938,195365,196992,198527,200012,201580,203111,204661,206126,207529,208867,210214
,Haryana,India,25046,26420,27340,28227,29080,29690,30470,31226,31960,32640,33444,34031,34781,35492,36082,36694,37486,38348,38939,39601,40610,41298,42056,42793,43413,44013,44822,45405,46496,47613,48690,49710,50711,51620,52672,53835,54875,55889,57171,58580,60051,61611,63315,65143,66705,68525,70713,72587,72587,77166,78937,81690,83878,86150,88697,90884,93776,96347,98410,101273,103827,105990,108411,110814,112877,115038,116716,118258,120341,121596,123286,124841,126267,127540,128841,130003,131228,132382,133706,134719,135858,137176,138351,139511,140436,141506,142798,143978,145196,146282,147566,148503,149451,150660,151839,153230,154451,155717,156975,158136,159643,161176,162814,164444,166595,168421,170250,172265,174380,176368,178298,180647,183261,185403,187559,190067,192533,194768,197335,199278,201250,203517,206001,208422,211216,213336,213336,218443,221203,223973,226524,228411,230551,232108,233696,235197,237009,238374,239800
,Himachal Pradesh,India,1216,1332,1387,1459,1502,1559,1658,1710,1762,1865,1954,2081,2181,2205,2273,2362,2435,2551,2632,2720,2834,2923,2992,3085,3234,3341,3461,3584,3748,3810,4008,4149,4308,4450,4515,4688,4760,4859,4965,4986,5184,5370,5445,5597,5677,5839,5962,6114,6114,6444,6558,6946,7081,7484,7565,7853,8511,8959,9252,9546,9728,10359,10627,10991,11390,11608,11996,12193,12361,12653,12918,13338,13597,13876,14278,14471,14690,15001,15233,15389,15618,15852,16069,16270,16487,16706,16937,17135,17318,17590,17782,17998,18203,18402,18595,18862,18965,19304,19469,19579,19780,20033,20243,20393,20621,21047,21408,21607,21846,22183,22392,22931,23506,24025,24729,25455,26112,26756,27541,28007,28106,29020,29510,29780,30724,31584,31584,33370,33914,34492,35437,35957,37063,37871,38690,39065,39836,40573,41313
