Admin2,,,,,,,,,,,,,,,,
Province/State,Aruba,Curacao,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,Noord-Brabant,Noord-Holland,Overijssel,Sint Maarten,Unknown,Utrecht,Zeeland,Zuid-Holland
Country/Region,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands
07-17-2020,111,28,536,981,642,6518,367,4885,9747,7459,3137,79,488,4137,771,11786
07-18-2020,111,28,539,981,643,6524,367,4890,9763,7479,3139,79,490,4147,785,11834
07-19-2020,113,28,539,981,643,6527,368,4891,9782,7523,3143,79,489,4162,791,11886
07-20-2020,115,28,539,981,643,6527,368,4891,9782,7523,3143,79,674,4162,791,11886
07-21-2020,117,28,540,983,643,6544,369,4898,9819,7592,3156,79,494,4196,800,12039
07-22-2020,117,28,542,983,645,6550,369,4899,9845,7628,3160,79,496,4209,803,12112
07-23-2020,117,28,545,984,645,6553,369,4899,9854,7659,3160,81,498,4225,809,12204
07-24-2020,118,29,546,986,647,6558,370,4903,9878,7700,3161,84,496,4229,815,12306
07-25-2020,119,29,548,989,647,6565,372,4906,9892,7731,3163,93,497,4248,822,12352
07-26-2020,119,29,548,989,647,6565,372,4906,9892,7731,3163,114,497,4248,822,12352
07-27-2020,119,29,549,991,648,6583,377,4912,9935,7838,3168,114,502,4273,835,12540
07-28-2020,119,29,549,993,648,6588,379,4914,9970,7887,3168,114,502,4283,843,12650
07-29-2020,119,29,549,997,649,6593,380,4917,10009,7930,3174,115,507,4307,851,12758
07-30-2020,120,29,550,998,650,6605,382,4921,10052,8026,3174,126,512,4330,859,12904
07-31-2020,121,29,551,1007,652,6620,385,4923,10088,8098,3177,128,511,4366,863,13060
08-01-2020,121,29,552,1015,653,6642,388,4930,10138,8193,3184,128,520,4388,867,13262
08-02-2020,122,29,553,1019,656,6656,390,4933,10199,8251,3187,146,523,4412,872,13447
08-03-2020,124,29,554,1027,657,6657,393,4938,10252,8323,3194,150,524,4429,880,13642
08-04-2020,132,29,554,1033,657,6665,400,4942,10303,8501,3197,150,521,4455,890,13837
08-05-2020,171,29,559,1036,657,6672,405,4949,10356,8590,3202,156,527,4480,896,14052
08-06-2020,263,31,562,1041,657,6691,411,4951,10416,8791,3213,176,529,4531,901,14288
08-07-2020,396,31,563,1046,658,6714,418,4960,10486,8906,3225,176,530,4582,905,14508
08-08-2020,509,31,566,1050,661,6733,425,4967,10558,9040,3235,177,531,4618,912,14691
08-09-2020,563,31,571,1055,663,6764,432,4984,10643,9168,3240,189,543,4652,918,14931
08-10-2020,630,32,571,1057,677,6784,441,4996,10709,9378,3248,189,546,4685,918,15184
08-11-2020,717,32,573,1102,690,6819,446,5017,10816,9563,3255,205,549,4728,944,15471
08-12-2020,798,32,575,1112,701,6851,456,5030,10873,9717,3269,248,556,4772,950,15765
08-13-2020,894,32,578,1121,710,6876,470,5047,10924,9837,3284,263,568,4823,954,16012
08-14-2020,973,32,579,1140,721,6901,482,5065,10995,10031,3301,269,570,4859,957,16239
08-15-2020,1048,33,581,1146,726,6922,490,5101,11064,10225,3308,300,576,4888,962,16506
08-16-2020,1102,34,582,1156,732,6951,500,5122,11136,10355,3319,317,585,4923,967,16674
08-17-2020,1121,36,585,1169,743,6970,509,5128,11197,10517,3328,326,587,4954,968,16829
08-18-2020,1205,36,586,1176,755,6991,520,5139,11264,10674,3343,333,588,4977,971,16989
08-19-2020,1296,36,587,1191,763,7024,525,5152,11330,10830,3351,348,594,5022,980,17176
08-20-2020,1387,36,590,1204,767,7050,533,5175,11380,10996,3369,353,593,5055,987,17355
08-21-2020,1464,37,592,1217,771,7086,540,5198,11462,11136,3393,353,594,5090,993,17517
08-22-2020,1534,39,595,1233,777,7115,549,5221,11523,11224,3408,368,598,5138,1008,17708
08-23-2020,1568,39,599,1244,784,7156,555,5249,11591,11329,3421,396,604,5170,1017,17835
