Admin2,Province/State,Country/Region,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021,01-20-2021,01-21-2021,01-22-2021,01-23-2021,01-24-2021,01-25-2021,01-26-2021,01-27-2021,01-28-2021,01-29-2021,01-30-2021,01-31-2021,02-01-2021,02-02-2021,02-03-2021,02-04-2021,02-05-2021,02-06-2021,02-07-2021,02-08-2021,02-09-2021,02-10-2021,02-11-2021,02-12-2021,02-13-2021,02-14-2021,02-15-2021,02-16-2021,02-17-2021,02-18-2021,02-19-2021,02-20-2021,02-21-2021,02-22-2021,02-23-2021,02-24-2021,02-25-2021,02-26-2021,02-27-2021,02-28-2021,03-01-2021,03-02-2021,03-03-2021,03-04-2021,03-05-2021,03-06-2021,03-07-2021,03-08-2021,03-09-2021,03-10-2021,03-11-2021,03-12-2021,03-13-2021,03-14-2021,03-15-2021,03-16-2021,03-17-2021,03-18-2021,03-19-2021,03-20-2021,03-21-2021,03-22-2021,03-23-2021,03-24-2021,03-25-2021,03-26-2021,03-27-2021,03-28-2021,03-29-2021,03-30-2021,03-31-2021,04-01-2021
,Aguascalientes,Mexico,10164,10255,10259,10274,10274,10274,10273,10275,10298,10298,10927,11280,11484,11730,11848,11848,11969,12429,12769,12842,12928,12960,13153,13448,13605,13860,13954,13973,14052,14087,14220,14358,14465,14535,14574,14583,14766,14785,14803,14814,14932,14939,15112,15169,15192,15307,15411,15456,15505,15585,15650,15724,15730,15914,15967,16050,16148,16184,16247,16266,16305,16442,16622,16675,16794,16946,17003,17021,17218,17471,17471,17887,18190,18265,18348,18548,18781,19058,19187,19279,19308,19330,19341,19480,19480,19656,19702,19731,19835,19968,20079,20188,20235,20299,20309,20318,20384,20488,20564,20616,20666,20671,20717,20794,20886,20952,21009,21084,21090,21105,21171,21248,21308,21384,21425,21427,21432,21542,21598,21648,21711,21773,21779,21787,21797,21883,21961,21996,22048,22099,22120,22137,22203,22245,22324,22439,22502,22507,22631,22726,22773
,Baja California,Mexico,20217,20333,20384,20405,20443,20454,20537,20584,20693,20693,20914,21042,21429,21649,21858,21858,22337,22322,22548,22682,22910,23084,23331,23454,23656,23808,23921,24258,24536,24693,24865,24984,25159,25463,25588,25897,26016,26250,26323,26427,26779,26997,27333,27694,27816,27914,28095,28388,28813,29053,29330,29657,29736,29930,30004,30222,30421,30674,30907,31065,31107,31303,31369,31594,31906,32145,32408,32464,32763,33148,33148,33814,34103,34262,34410,34639,34881,35117,35234,35338,35398,35417,35422,35587,35587,35959,36051,36079,36078,36178,36275,36371,36433,36489,36520,36523,36601,36770,36851,36924,36951,36965,36974,37078,37220,37288,37390,37450,37490,37550,37607,37695,37759,37806,37870,37874,37875,37945,38008,38054,38097,38117,38137,38136,38144,38198,38213,38251,38271,38279,38286,38345,38404,38458,38506,38561,38574,38584,38589,38613,38653
,Baja California Sur,Mexico,12705,12746,12834,12841,12906,12917,12947,12955,13033,13033,13193,13298,13387,13444,13494,13494,13679,13726,13837,13894,13975,14100,14167,14261,14317,14411,14418,14542,14717,14807,14917,14981,15100,15219,15310,15407,15521,15599,15634,15756,15813,15870,16029,16109,16250,16276,16358,16517,16702,16904,17036,17151,17219,17371,17498,17712,17856,18023,18225,18463,18617,18757,19041,19281,19570,19738,19906,20071,20251,20412,20412,20909,21180,21280,21437,21627,21831,21991,22182,22361,22531,22583,22641,22743,22743,23072,23297,23429,23505,23563,23667,23756,23961,24082,24107,24213,24257,24367,24443,24581,24651,24722,24772,24820,24915,25028,25095,25163,25190,25260,25333,25392,25441,25531,25597,25641,25659,25716,25771,25840,25902,25950,26001,26013,26030,26122,26177,26223,26348,26391,26415,26490,26576,26669,26726,26839,26859,26905,26971,27063,27144
,Campeche,Mexico,5735,5741,5747,5750,5756,5762,5767,5769,5779,5779,5805,5817,5823,5828,5839,5839,5848,5871,5884,5891,5908,5912,5930,5940,5955,5959,5965,5982,5990,6005,6014,6029,6047,6057,6078,6095,6112,6122,6133,6149,6160,6177,6198,6213,6226,6245,6253,6269,6278,6290,6301,6314,6316,6333,6339,6359,6374,6389,6405,6426,6440,6456,6470,6497,6529,6539,6563,6588,6613,6650,6650,6721,6753,6775,6800,6827,6860,6886,6913,6947,6954,6972,6980,7006,7006,7044,7065,7077,7103,7125,7129,7149,7182,7203,7219,7248,7261,7281,7299,7310,7323,7334,7345,7357,7372,7391,7405,7415,7420,7433,7453,7477,7490,7512,7529,7537,7549,7566,7583,7599,7610,7618,7629,7647,7656,7675,7693,7707,7720,7727,7740,7737,7746,7761,7776,7789,7797,7804,7814,7832,7843
,Chiapas,Mexico,6443,6438,6446,6448,6457,6458,6461,6475,6485,6485,6504,6518,6523,6535,6542,6542,6643,6567,6577,6582,6598,6615,6625,6649,6654,6675,6683,6698,6713,6731,6737,6765,6786,6798,6804,6815,6831,6850,6862,6877,6894,6911,6932,6961,6976,6988,7023,7030,7052,7086,7087,7111,7127,7159,7191,7214,7232,7257,7273,7289,7320,7356,7365,7385,7418,7443,7507,7524,7540,7596,7596,7706,7781,7836,7870,7898,7923,7944,7949,7964,7979,7992,8005,8024,8024,8098,8165,8226,8251,8261,8283,8300,8317,8334,8331,8359,8373,8416,8422,8448,8475,8481,8483,8501,8515,8537,8554,8564,8565,8566,8584,8601,8622,8628,8644,8648,8650,8674,8687,8704,8718,8736,8763,8766,8770,8792,8797,8816,8824,8833,8841,8848,8857,8867,8883,8910,8921,8924,8941,8963,8977
,Chihuahua,Mexico,21499,21869,22067,22202,22453,22529,22772,23154,23931,23931,24823,24894,25260,25453,25640,25640,26241,26419,26521,26704,26858,27198,27611,27820,28254,28405,28597,28744,28877,29005,29138,29509,29583,29835,30074,30302,30488,30604,30813,30873,30988,31141,31270,31332,31344,31439,31504,31645,31783,31904,32077,32078,32140,32185,32348,32436,32543,32797,32907,32956,33055,33242,33330,33466,33550,33661,33673,33806,33876,34056,34056,34487,34785,34927,34965,35210,35342,35488,35662,35766,35794,35924,35943,36068,36068,36311,36394,36401,36467,36556,36634,36729,36813,36863,36900,36940,36983,37038,37142,37260,37330,37341,37399,37515,37609,37676,37810,37907,37917,37983,38093,38193,38307,38387,38487,38524,38558,38654,38663,38720,38821,38932,38969,39029,39033,39135,39252,39332,39469,39481,39511,39693,39851,39993,40150,40322,40329,40355,40565,40744,40936
,Ciudad de Mexico,Mexico,163667,165018,166634,167198,167524,167914,169144,170417,171726,171726,174241,175311,178070,180584,182713,182713,186964,192695,194141,197369,201260,205651,210380,215430,217988,219481,224822,229776,234573,240043,244942,248151,249597,254389,258475,262650,267469,272346,274619,276079,281666,286413,291288,294808,296278,298117,299499,303866,308792,313519,317264,318791,320040,321130,325583,330895,336259,341415,346710,349340,350624,356348,362442,368616,376375,384195,387837,390020,397200,404638,404638,419030,425237,427886,429572,435198,441194,447147,452188,456887,458853,459871,460941,465412,465412,473619,477516,478696,479407,482628,486315,489852,493045,496413,497706,498385,501625,504822,507991,510068,512807,513748,514283,517206,520164,522916,525495,527990,528816,529458,532282,534848,537508,539770,541688,542489,542970,545600,547909,550081,552536,554651,555422,555713,556091,558375,560827,562874,564600,565300,565681,567771,569624,571311,572898,574214,574763,575125,576710,578338,580049
,Coahuila,Mexico,34388,34557,34681,34817,34889,34935,34966,35110,35278,35278,36041,36417,36775,37157,37364,37364,38238,38455,38652,38737,38984,39235,39471,39744,39909,40075,40214,40420,40621,40888,41147,41359,41525,41638,41871,42159,42551,42810,42931,43048,43202,43501,43852,44058,44154,44295,44414,44653,44968,45246,45487,45645,45777,45960,46308,46672,47025,47392,47859,48139,48435,48592,48911,49331,49740,50067,50385,50551,50859,51365,51365,52254,52492,52834,53000,53215,53700,54215,54701,54988,55156,55263,55333,55503,55503,56023,56259,56382,56438,56643,57004,57237,57384,57585,57635,57661,57740,57924,58062,58183,58387,58418,58436,58597,58730,58898,58982,59082,59123,59142,59247,59345,59434,59556,59621,59660,59665,59725,59800,59862,59913,59953,59977,59989,59999,60070,60123,60182,60230,60249,60258,60321,60399,60488,60614,60677,60709,60719,60771,60846,60845
,Colima,Mexico,6175,6187,6193,6195,6196,6200,6206,6214,6228,6228,6279,6299,6324,6347,6356,6356,6343,6424,6455,6511,6526,6555,6562,6601,6614,6636,6646,6666,6689,6710,6734,6745,6761,6777,6782,6801,6820,6826,6857,6862,6900,6928,6953,6958,6972,7004,7028,7037,7052,7128,7150,7214,7217,7250,7261,7303,7330,7369,7421,7472,7507,7542,7576,7607,7632,7672,7752,7811,7849,7921,7921,8091,8217,8237,8282,8342,8382,8422,8443,8519,8549,8576,8599,8633,8633,8662,8713,8808,8824,8869,8935,8997,9021,9070,9075,9088,9113,9145,9181,9198,9176,9190,9200,9214,9249,9259,9284,9312,9317,9320,9337,9359,9375,9388,9397,9405,9409,9428,9446,9458,9477,9487,9496,9499,9507,9526,9548,9564,9576,9579,9589,9601,9610,9617,9634,9640,9642,9648,9665,9678,9685
,Durango,Mexico,16067,16213,16451,16516,16572,16694,16812,17026,17163,17163,17762,18045,18319,18638,19145,19145,19713,19935,20051,20166,20337,20527,20678,20949,21111,21154,21243,21312,21528,21665,21827,21889,21911,21972,22151,22348,22403,22559,22708,22719,22833,22958,23102,23170,23247,23272,23307,23372,23441,23523,23693,23821,23876,23902,24056,24114,24208,24318,24516,24560,24634,24716,24815,25008,25139,25304,25363,25395,25513,25656,25656,25991,26154,26201,26279,26395,26458,26615,26810,26959,26996,27003,27018,27045,27045,27370,27491,27531,27542,27617,27742,27881,28043,28135,28149,28155,28207,28263,28349,28397,28472,28488,28506,28573,28618,28701,28727,28796,28819,28821,28881,28922,28992,29052,29105,29120,29128,29204,29270,29332,29352,29410,29413,29415,29423,29493,29565,29610,29667,29680,29685,29720,29795,29858,29902,29941,29945,29954,29991,30057,30083
